name,Source path,Destination path
"שו""ת מהרש""ם חלק א",שו״ת/אחרונים,שו״ת/אחרונים/שות מהרשם
"שו""ת מהרש""ם חלק ב",שו״ת/אחרונים,שו״ת/אחרונים/שות מהרשם
"שו""ת מהרש""ם חלק ג",שו״ת/אחרונים,שו״ת/אחרונים/שות מהרשם
גן נעול (אבולעפיה),קבלה,קבלה/כתבי רבי אברהם אבולעפיא
אגרת וזאת ליהודה,קבלה,קבלה/כתבי רבי אברהם אבולעפיא
גט השמות,קבלה,קבלה/כתבי רבי אברהם אבולעפיא
אור השכל,קבלה,קבלה/כתבי רבי אברהם אבולעפיא
ספר החשק,קבלה,קבלה/כתבי רבי אברהם אבולעפיא
ילקוט שמעוני על התורה,מדרש/אגדה,מדרש/אגדה/ילקוט שמעוני
"ילקוט שמעוני על נ""ך",מדרש/אגדה,מדרש/אגדה/ילקוט שמעוני
תנא דבי אליהו רבה,מדרש/אגדה,מדרש/אגדה/תנא דבי אליהו
תנא דבי אליהו זוטא,מדרש/אגדה,מדרש/אגדה/תנא דבי אליהו
יד רמה על סנהדרין,תלמוד בבלי/ראשונים/יד רמה/סדר נזיקין,תלמוד בבלי/ראשונים/יד רמה
מגילת עיפה,מחשבת ישראל,מחשבת ישראל/אחרונים
נשמת חיים,מחשבת ישראל,מחשבת ישראל/אחרונים
ספר ההגיון,מחשבת ישראל/אחרונים,מחשבת ישראל/אחרונים/רמחל
ספר המליצה,מחשבת ישראל/אחרונים,מחשבת ישראל/אחרונים/רמחל
דרך ה',מחשבת ישראל/אחרונים,מחשבת ישראל/אחרונים/רמחל
מאמר העיקרים,מחשבת ישראל/אחרונים,מחשבת ישראל/אחרונים/רמחל
"תוספות הרא""ש על מסכת הוריות",תלמוד בבלי/ראשונים/תוספות הרא״ש/סדר נזיקין,תלמוד בבלי/ראשונים/תוספות הרא״ש
"תוספות הרא""ש על מסכת נדה",תלמוד בבלי/ראשונים/תוספות הרא״ש/סדר טהרות,תלמוד בבלי/ראשונים/תוספות הרא״ש
רשימות שיעורים על הוריות,תלמוד בבלי/מחברי זמננו/רשימות שיעורים,תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נזיקין
רשימות שיעורים על סנהדרין,תלמוד בבלי/מחברי זמננו/רשימות שיעורים,תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נזיקין
