"categoryPath","heShortDesc","heDesc","heShortDescNew","heDescNew"
"בית שני","אוסף יצירות מתקופת בית המקדש השני, שעמד על תילו כמה מאות שנים עד שנחרב בשנת 70 לספירה.","ספרות תקופת בית שני כוללת יצירות שקובצו בתקופת ימי בית המקדש השני. בית המקדש השני עמד על תילו כמה מאות שנים עד שנחרב בשנת 70 לספירה. בתקופה זו נחתם התנ""ך, והחלו לפתח את המשנה, התוספתא והמדרשים.","","ספרות תקופת בית שני כוללת יצירות שקובצו בימי בית המקדש השני, שעמד על תילו כמה מאות שנים עד שנחרב בשנת 70 לספירה. בתקופה זו נחתם התנ""ך בידי אנשי כנסת הגדולה, ובה נמסרה התורה שבעל פה שנתגבשה לימים במשנה, בתוספתא ובמדרשים."
"בית שני/יוסף בן מתתיהו","היסטוריון יהודי-רומאי מן המאה ה-1, שכתביו הענפים מספקים חומר רב על חיי היהודים בסוף תקופת בית שני.","יוספוס היה היסטוריון יהודי-רומאי שפעל במאה ה-1. כיליד ירושלים הוא לחם נגד הרומאים במלחמה הראשונה בין היהודים לרומאים, אך בהמשך ערק לצד הרומי ואף מונה ליועץ של בנו של הקיסר הרומי. כתבי יוספוס הם מקור מידע חשוב על ההיסטוריה היהודית בסוף תקופת בית ראשון ועל מלחמות היהודים באותה תקופה.","",""
"הלכה","ספרות משפטית המדריכה את האדם בכל תחומי החיים. שורשיה במקורות העבר, והיא מתפתחת בהתאם למציאות החיים המשתנה.","הלכה היא ספרות משפטית המדריכה את האדם בכל תחומי חייו. שורשיה בתורה, במדרש ובתלמוד, והיא מתפתחת בהתאם למציאות החיים המשתנה. ספרות ההלכה כוללת מקורות ממגוון סוגים: חיבורים המקיפים את כלל מערכת החוק היהודית, עיונים לפי נושא, ספרים לשימוש יום-יומי ויצירות פרשניות לצורכי לימוד אנליטי וביקורתי.","ספרות המורה לאדם את דרכו בכל תחומי החיים. שורשיה בתורה שבכתב ובתורה שבעל פה, והיא מכריעה את הדין גם במציאות החיים המשתנה.","ההלכה מורה לאדם את דרכו בכל תחומי חייו. שורשיה בתורה, במדרש ובתלמוד, והיא מכריעה את הדין גם במציאות החיים המשתנה. ספרות ההלכה כוללת מקורות ממגוון סוגים: חיבורים המקיפים את כלל מערכת ההלכה, עיונים לפי נושא, ספרים לשימוש יום-יומי ויצירות פרשניות לצורכי לימוד ועיון."
"הלכה/אחרונים","כינוי לרבנים ופוסקי הלכה שפעלו בין המאה ה-16 למאה ה-20, בתקופה שלאחר חתימת השולחן ערוך.","אחרונים' הוא כינוי לרבנים ופוסקי הלכה שפעלו בין המאה ה-16 למאה ה-20, בתקופה שלאחר חתימת השולחן ערוך.","","'אחרונים' הוא כינוי לרבנים ופוסקי הלכה שפעלו בין המאה ה-16 למאה ה-20, בתקופה שלאחר חתימת השולחן ערוך."
"הלכה/אחרונים/עבודת הקודש - חיד“א","סדרה של שבעה חיבורים קצרים מן המאה ה-18, העוסקים בהלכה, במנהג ובמוסר.","","",""
"הלכה/אחרונים/שולחן ערוך הרב","ספר הלכה מן המאה ה-18 שחובר על ידי רבי שניאור זלמן מלאדי, מייסד חב""ד, ומשמש כבסיס לקיום ההלכה עבור חסידי חב""ד.","ספר הלכה מן המאה ה-18 שחובר על ידי רבי שניאור זלמן מלאדי, מייסד חב""ד, ומשמש כבסיס לקיום ההלכה עבור חסידי חב""ד.","",""
"הלכה/טור","חיבור הלכתי מקיף מהמאה ה-14 שחובר על ידי יעקב בן אשר, עליו מבוסס השולחן ערוך.","","",""
"הלכה/משנה תורה","חיבור הלכתי פורץ-דרך וחדשני מבחינת היקפו ואופן סידור הדינים שבו. נכתב על ידי הרמב""ם במאה ה-12.","המשנה תורה, המכונה גם 'היד החזקה', הוא חיבור הלכתי מונומנטלי, ואחת היצירות המסודרות, המקיפות, והמשפיעות בתחום ההלכה בעולם היהודי. החיבור, שכתיבתו ארכה כעשר שנים, מסווג באופן שיטתי ומסביר בצורה ברורה את כל היבטי הקיום היהודי, ובכללם אלה הרלוונטיים לתקופת בית המקדש.","",""
"הלכה/ספרי מצוות","כתבים המציעים אופנים שונים למניין מצוות התורה, לאור המסורת התלמודית שישנם 613 (תרי""ג) מצוות שנאמרו למשה בסיני – 365 מצוות לא תעשה, ו248 מצוות עשה.","ספרי מצוות הינם כתבים המציעים אופנים שונים למניין מצוות התורה, לאור המסורת התלמודית שישנם 613 (תרי""ג) מצוות שנאמרו למשה בסיני – 365 מצוות לא תעשה, ו248 מצוות עשה.","",""
"הלכה/ספרי מצוות/ספר המצוות","חיבור שנכתב על ידי הרמב""ם במאה ה-12, בו הוא מונה ומפרט את תרי״ג מצוות התורה. נכתב במקור בערבית.","","",""
